Event,Date,Venue,City,State/Province,Country,Attendance,EVENT #,PPV,Explanation,Month,Year,Extra Notes
UFC 179: Aldo vs. Mendes 2,10/25/2014,Ginásio do Maracanãzinho,Rio de Janeiro,N/A, Brazil,11415,UFC 179,180000,,October,2014,
UFC 180: Werdum vs. Hunt,11/15/2014,Arena Ciudad de México,Mexico City,N/A, Mexico,21000,UFC 180,185000,,November,2014,
UFC 181: Hendricks vs. Lawler II,12/6/2014,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,9617,UFC 181,400000,,December,2014,
UFC 182: Jones vs. Cormier,1/3/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,11575,UFC 182,800000,,January,2015,
UFC 183: Silva vs. Diaz,1/31/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13114,UFC 183,650000,,January,2015,
UFC 184: Rousey vs. Zingano,2/28/2015,Staples Center,Los Angeles, California, U.S.,17654,UFC 184,600000,,February,2015,
UFC 185: Pettis vs. dos Anjos,3/14/2015,American Airlines Center,Dallas, Texas, U.S.,17160,UFC 185,310000,,March,2015,
UFC 186: Johnson vs. Horiguchi,4/25/2015,Bell Centre,Montreal, Quebec, Canada,10154,UFC 186,125000,,April,2015,
UFC 187: Johnson vs. Cormier,5/23/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12615,UFC 187,375000,,May,2015,
UFC 188: Velasquez vs. Werdum,6/13/2015,Arena Ciudad de México,Mexico City,N/A, Mexico,21036,UFC 188,300000,,June,2015,
UFC 189: Mendes vs. McGregor,7/11/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,16019,UFC 189,825000,,July,2015,
UFC 190: Rousey vs. Correia,8/1/2015,HSBC Arena,Rio de Janeiro,N/A, Brazil,14723,UFC 190,900000,,August,2015,
UFC 191: Johnson vs. Dodson 2,9/5/2015,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,10873,UFC 191,115000,,September,2015,
UFC 192: Cormier vs. Gustafsson,10/3/2015,Toyota Center,Houston, Texas, U.S.,14622,UFC 192,250000,,October,2015,
UFC 193: Rousey vs. Holm,11/15/2015,Etihad Stadium,Melbourne,N/A, Australia,56214,UFC 193,1100000,,November,2015,
