#,Event,Date,Venue,City,State/Province,Country,Attendance,
210,UFC 148: Silva vs. Sonnen II,7/7/2012,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,15104,
211,UFC on Fuel TV: Muñoz vs. Weidman,7/11/2012,HP Pavilion,San Jose, California, U.S.,4250,
212,UFC 149: Faber vs. Barão,7/21/2012,Scotiabank Saddledome,Calgary, Alberta, Canada,16089,
213,UFC on Fox: Shogun vs. Vera,8/4/2012,Staples Center,Los Angeles, California, U.S.,16080,
214,UFC 150: Henderson vs. Edgar II,8/11/2012,Pepsi Center,Denver, Colorado, U.S.,13027,
215,UFC 152: Jones vs. Belfort,9/22/2012,Air Canada Centre,Toronto, Ontario, Canada,16800,
216,UFC on Fuel TV: Struve vs. Miocic,9/29/2012,Capital FM Arena,Nottingham, England, U.K.,7241,
217,UFC on FX: Browne vs. Bigfoot,10/5/2012,Target Center,Minneapolis, Minnesota, U.S.,7049,
218,UFC 153: Silva vs. Bonnar,10/13/2012,HSBC Arena,Rio de Janeiro,N/A, Brazil,16844,
219,UFC on Fuel TV: Franklin vs. Le,11/10/2012,CotaiArena,Macau, SAR, China,8415,
220,UFC 154: St-Pierre vs. Condit,11/17/2012,Bell Centre,Montreal, Quebec, Canada,17249,
221,UFC on Fox: Henderson vs. Diaz,12/8/2012,KeyArena,Seattle, Washington, U.S.,14387,
222,UFC on FX: Sotiropoulos vs. Pearson,12/15/2012,Gold Coast Convention and Exhibition Centre,Gold Coast,N/A, Australia,5133,
223,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,12/15/2012,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,2500,
224,UFC 155: dos Santos vs. Velasquez 2,12/29/2012,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13561,
225,UFC on FX: Belfort vs. Bisping,1/19/2013,Ginásio do Ibirapuera,São Paulo,N/A, Brazil,9116,
226,UFC on Fox: Johnson vs. Dodson,1/26/2013,United Center,Chicago, Illinois, U.S.,16091,
227,UFC 156: Aldo vs. Edgar,2/2/2013,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10275,
228,UFC on Fuel TV: Barão vs. McDonald,2/16/2013,Wembley Arena,London, England, U.K.,10349,
229,UFC 157: Rousey vs. Carmouche,2/23/2013,Honda Center,Anaheim, California, U.S.,13257,
230,UFC on Fuel TV: Silva vs. Stann,3/3/2013,Saitama Super Arena,Saitama,N/A, Japan,14682,
231,UFC 158: St-Pierre vs. Diaz,3/16/2013,Bell Centre,Montreal, Quebec, Canada,20145,
232,UFC on Fuel TV: Mousasi vs. Latifi,4/6/2013,Ericsson Globe Arena,Stockholm,N/A, Sweden,14506,
233,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,4/13/2013,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,5918,
234,UFC on Fox: Henderson vs. Melendez,4/20/2013,HP Pavilion,San Jose, California, U.S.,13506,
235,UFC 159: Jones vs. Sonnen,4/27/2013,Prudential Center,Newark, New Jersey, U.S.,15227,
236,UFC on FX: Belfort vs. Rockhold,5/18/2013,Arena Jaraguá,Jaraguá do Sul,N/A, Brazil,7642,
237,UFC 160: Velasquez vs. Bigfoot 2,5/25/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12380,
238,UFC on Fuel TV: Nogueira vs. Werdum,6/8/2013,Ginásio Paulo Sarasate,Fortaleza,N/A, Brazil,6286,
239,UFC 161: Evans vs. Henderson,6/15/2013,MTS Centre,Winnipeg, Manitoba, Canada,14754,
240,UFC 162: Silva vs. Weidman,7/6/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12964,
241,UFC on Fox: Johnson vs. Moraga,7/27/2013,KeyArena,Seattle, Washington, U.S.,8967,
